"label"	"p1"	"p2"	"score"
"pos"	"X us in Y"	"Y respond to X"	"0.0"
"pos"	"X provid Y"	"Y obtain from X"	"0.0"
"pos"	"X control with Y"	"Y take for X"	"0.0"
"pos"	"X treat with Y"	"Y suppress X"	"0.0"
"pos"	"X overcom by Y"	"Y reliev X"	"0.0"
"pos"	"X combin with Y"	"X encount Y"	"0.0"
"pos"	"X be for Y"	"Y reliev with X"	"0.0"
"pos"	"X administ for Y"	"Y requir X"	"0.0"
"pos"	"X associ with Y"	"X manifest by Y"	"0.0"
"pos"	"X suggest Y"	"Y character by X"	"0.0"
"pos"	"X be against Y"	"X elimin Y"	"0.0"
"pos"	"X contribut to Y"	"Y result from X"	"0.0"
"pos"	"X occur in Y"	"Y develop X"	"0.0"
"pos"	"X progress to Y"	"X lead to Y"	"0.0"
"pos"	"X complic Y"	"X caus Y"	"0.0"
"pos"	"X prevent Y"	"Y control with X"	"0.0"
"pos"	"X need for Y"	"X us in Y"	"0.0"
"pos"	"X prescrib for Y"	"X give Y"	"0.0"
"pos"	"X offer Y"	"Y provid by X"	"0.0"
"pos"	"X help Y"	"X take for Y"	"0.0"
"pos"	"X be in Y"	"X indic Y"	"0.0"
"pos"	"X transmit Y"	"X infect with Y"	"0.0"
"pos"	"X compos of Y"	"X contain Y"	"0.0"
"pos"	"X see in Y"	"X find in Y"	"0.0"
"pos"	"X caus by Y"	"X follow Y"	"0.0"
"pos"	"X character by Y"	"X contribut to Y"	"0.0"
"pos"	"X cure by Y"	"X prevent by Y"	"0.0"
"pos"	"X refer to Y"	"X defin as Y"	"0.0"
"pos"	"X control Y"	"X prescrib for Y"	"0.0"
"pos"	"X follow by Y"	"X preced Y"	"0.0"
"pos"	"X produc by Y"	"Y includ X"	"0.0"
"pos"	"X prescrib for Y"	"X provid Y"	"0.0"
"pos"	"X order for Y"	"Y reliev by X"	"0.0"
"pos"	"X provid by Y"	"Y us for X"	"0.0"
"pos"	"X mask Y"	"X reduc Y"	"0.0"
"pos"	"X get Y"	"X have Y"	"0.0"
"pos"	"X present with Y"	"X occur with Y"	"0.0"
"pos"	"X reliev Y"	"X requir for Y"	"0.0"
"pos"	"X requir Y"	"Y reliev X"	"0.0"
"pos"	"X produc by Y"	"Y give X"	"0.0"
"pos"	"X be with Y"	"Y us in X"	"0.0"
"pos"	"X ejacul Y"	"X have Y"	"0.0"
"pos"	"X control with Y"	"X requir Y"	"0.0"
"pos"	"X associ with Y"	"X mean Y"	"0.0"
"pos"	"X help Y"	"X reliev Y"	"0.0"
"pos"	"X us for Y"	"X prescrib for Y"	"0.0"
"pos"	"X administ with Y"	"X combin with Y"	"0.0"
"pos"	"X develop after Y"	"X caus by Y"	"0.0"
"pos"	"X manifest by Y"	"Y associ with X"	"0.0"
"pos"	"X occur in Y"	"Y present as X"	"0.0"
"pos"	"X control Y"	"Y reliev by X"	"0.0"
"pos"	"X decreas Y"	"X help Y"	"0.0"
"pos"	"X associ with Y"	"Y occur from X"	"0.0"
"pos"	"X lead to Y"	"Y produc by X"	"0.0"
"pos"	"X control with Y"	"Y reduc X"	"0.0"
"pos"	"X combin with Y"	"Y meet X"	"0.0"
"pos"	"X kill by Y"	"Y destroi X"	"0.0"
"pos"	"X erad Y"	"Y treat with X"	"0.0"
"pos"	"X us in Y"	"Y contain X"	"0.0"
"pos"	"X respond to Y"	"Y administ for X"	"0.0"
"pos"	"X treat by Y"	"Y elimin X"	"0.0"
"pos"	"X resembl Y"	"X simul Y"	"0.0"
"pos"	"X control Y"	"X allevi Y"	"0.0"
"pos"	"X get into Y"	"X inject into Y"	"0.0"
"pos"	"X indic Y"	"X be in Y"	"0.0"
"pos"	"X be for Y"	"Y reliev by X"	"0.0"
"pos"	"X find in Y"	"X associ with Y"	"0.0"
"pos"	"X refer to Y"	"X impli Y"	"0.0"
"pos"	"X us as Y"	"X combin with Y"	"0.0"
"pos"	"X pass through Y"	"X enter Y"	"0.0"
"pos"	"X accompani Y"	"Y accompani by X"	"0.0"
"pos"	"X result from Y"	"X mean Y"	"0.0"
"pos"	"X treat by Y"	"Y control X"	"0.0"
"pos"	"X have Y"	"X develop Y"	"0.0"
"pos"	"X involv Y"	"X refer to Y"	"0.0"
"pos"	"X includ Y"	"Y find in X"	"0.0"
"pos"	"X be in Y"	"X result from Y"	"0.0"
"pos"	"X prescrib for Y"	"X take for Y"	"0.0"
"pos"	"X accompani Y"	"X suggest Y"	"0.0"
"pos"	"X result from Y"	"Y manifest by X"	"0.0"
"pos"	"X produc by Y"	"X associ with Y"	"0.0"
"pos"	"X control by Y"	"Y indic for X"	"0.0"
"pos"	"X penetr by Y"	"Y enter X"	"0.0"
"pos"	"X produc Y"	"Y produc by X"	"0.0"
"pos"	"X achiev with Y"	"Y us for X"	"0.0"
"pos"	"X penetr by Y"	"Y penetr X"	"0.0"
"pos"	"X prescrib for Y"	"X bring Y"	"0.0"
"pos"	"X lead to Y"	"Y preced by X"	"0.0"
"pos"	"X us for Y"	"Y us X"	"0.0"
"pos"	"X mean Y"	"X result from Y"	"0.0"
"pos"	"X us for Y"	"X reserv for Y"	"0.0"
"pos"	"X bring Y"	"X prescrib for Y"	"0.0"
"pos"	"X administ dure Y"	"X us for Y"	"0.0"
"pos"	"X erad Y"	"X kill Y"	"0.0"
"pos"	"X be against Y"	"X us for Y"	"0.0"
"pos"	"X administ for Y"	"Y respond to X"	"0.0"
"pos"	"X reliev Y"	"X mask Y"	"0.0"
"pos"	"X treat by Y"	"X overcom by Y"	"0.0"
"pos"	"X reliev Y"	"X help with Y"	"0.0"
"pos"	"X altern with Y"	"Y give to X"	"0.0"
"pos"	"X requir for Y"	"Y treat by X"	"0.0"
"pos"	"X allevi Y"	"X mask Y"	"0.0"
"pos"	"X receiv Y"	"X contain Y"	"0.0"
"pos"	"X follow by Y"	"Y follow X"	"0.0"
"pos"	"X impli Y"	"X refer to Y"	"0.0"
"pos"	"X convert into Y"	"X metabol to Y"	"0.0"
"pos"	"X kill by Y"	"Y kill X"	"0.0"
"pos"	"X cure by Y"	"X respond to Y"	"0.0"
"pos"	"X correct Y"	"Y requir X"	"0.0"
"pos"	"X requir Y"	"X correct with Y"	"0.0"
"pos"	"X occur after Y"	"Y produc X"	"0.0"
"pos"	"X confound with Y"	"X simul Y"	"0.0"
"pos"	"X carri by Y"	"Y carri X"	"0.0"
"pos"	"X die of Y"	"X die from Y"	"0.0"
"pos"	"X treat by Y"	"X correct by Y"	"0.0"
"pos"	"X compos of Y"	"X make from Y"	"0.0"
"pos"	"X meet Y"	"Y join with X"	"0.0"
"pos"	"X lead to Y"	"Y induc by X"	"0.0"
"pos"	"X distinguish from Y"	"Y differ from X"	"0.0"
"pos"	"X obtain from Y"	"Y have X"	"0.0"
"pos"	"X indic for Y"	"Y provid by X"	"0.0"
"pos"	"X be for Y"	"X need for Y"	"0.0"
"pos"	"X give to Y"	"X present with Y"	"0.0"
"pos"	"X contribut to Y"	"Y relat to X"	"0.0"
"pos"	"X enter Y"	"X find in Y"	"0.0"
"pos"	"X follow Y"	"X associ with Y"	"0.0"
"pos"	"X have Y"	"X be of Y"	"0.0"
"pos"	"X associ with Y"	"Y accompani by X"	"0.0"
"pos"	"X make Y"	"X introduc Y"	"0.0"
"pos"	"X control by Y"	"Y cure X"	"0.0"
"pos"	"X hydrolyz by Y"	"Y hydrolyz X"	"0.0"
"pos"	"X associ with Y"	"Y contribut to X"	"0.0"
"pos"	"X result in Y"	"X follow by Y"	"0.0"
"pos"	"X associ with Y"	"Y occur in X"	"0.0"
"pos"	"X occur in Y"	"X accompani Y"	"0.0"
"pos"	"X consist of Y"	"X contain Y"	"0.0"
"pos"	"X provid by Y"	"X afford by Y"	"0.0"
"pos"	"X achiev with Y"	"Y produc X"	"0.0"
"pos"	"X cure Y"	"Y treat with X"	"0.0"
"pos"	"X control Y"	"Y requir X"	"0.0"
"pos"	"X relat to Y"	"Y character by X"	"0.0"
"pos"	"X afford by Y"	"Y give X"	"0.0"
"pos"	"X spread by Y"	"X carri by Y"	"0.0"
"pos"	"X see in Y"	"Y manifest by X"	"0.0"
"pos"	"X obtain with Y"	"Y afford X"	"0.0"
"pos"	"X reduc Y"	"X kill Y"	"0.0"
"pos"	"X have Y"	"Y occur in X"	"0.0"
"pos"	"X us for Y"	"X be for Y"	"0.0"
"pos"	"X present with Y"	"X accompani by Y"	"0.0"
"pos"	"X associ with Y"	"X suggest Y"	"0.0"
"pos"	"X mistak for Y"	"X differ from Y"	"0.0"
"pos"	"X us in Y"	"X administ dure Y"	"0.0"
"pos"	"X trigger Y"	"X precipit Y"	"0.0"
"pos"	"X manag with Y"	"X control with Y"	"0.0"
"pos"	"X obtain with Y"	"Y us for X"	"0.0"
"pos"	"X caus Y"	"X produc Y"	"0.0"
"pos"	"X join with Y"	"Y combin with X"	"0.0"
"pos"	"X affect with Y"	"Y affect X"	"0.0"
"pos"	"X enter Y"	"X pass through Y"	"0.0"
"pos"	"X be for Y"	"X give Y"	"0.0"
"pos"	"X treat with Y"	"X control by Y"	"0.0"
"pos"	"X treat with Y"	"Y take for X"	"0.0"
"pos"	"X us in Y"	"X us dure Y"	"0.0"
"pos"	"X substitut for Y"	"X replac Y"	"0.0"
"pos"	"X reduc Y"	"X provid from Y"	"0.0"
"pos"	"X consist of Y"	"X prepar from Y"	"0.0"
"pos"	"X occur in Y"	"X see in Y"	"0.0"
"pos"	"X present with Y"	"X present as Y"	"0.0"
"pos"	"X need for Y"	"X be for Y"	"0.0"
"pos"	"X confound with Y"	"Y simul X"	"0.0"
"pos"	"X accompani Y"	"X produc Y"	"0.0"
"pos"	"X suffer from Y"	"Y occur in X"	"0.0"
"pos"	"X includ Y"	"Y act as X"	"0.0"
"pos"	"X treat with Y"	"X requir Y"	"0.0"
"pos"	"X fertil by Y"	"Y fertil X"	"0.0"
"pos"	"X be for Y"	"X reliev Y"	"0.0"
"pos"	"X caus by Y"	"X attribut to Y"	"0.0"
"pos"	"X us for Y"	"X provid Y"	"0.0"
"pos"	"X follow by Y"	"X result in Y"	"0.0"
"pos"	"X reliev by Y"	"Y mask X"	"0.0"
"pos"	"X confus with Y"	"Y differ from X"	"0.0"
"pos"	"X make by Y"	"Y produc X"	"0.0"
"pos"	"X protect against Y"	"Y prevent by X"	"0.0"
"pos"	"X combin with Y"	"Y us with X"	"0.0"
"pos"	"X deriv from Y"	"X obtain from Y"	"0.0"
"pos"	"X produc Y"	"X stimul Y"	"0.0"
"pos"	"X combin with Y"	"Y unit with X"	"0.0"
"pos"	"X control by Y"	"X requir Y"	"0.0"
"pos"	"X result from Y"	"X complic Y"	"0.0"
"pos"	"X requir Y"	"Y control X"	"0.0"
"pos"	"X associ with Y"	"X relat to Y"	"0.0"
"pos"	"X have Y"	"Y affect X"	"0.0"
"pos"	"X penetr by Y"	"Y fertil X"	"0.0"
"pos"	"X result from Y"	"X see in Y"	"0.0"
"pos"	"X caus Y"	"X give Y"	"0.0"
"pos"	"X occur with Y"	"X accompani Y"	"0.0"
"pos"	"X destroi Y"	"Y kill by X"	"0.0"
"pos"	"X have Y"	"Y obtain from X"	"0.0"
"pos"	"X produc Y"	"X develop with Y"	"0.0"
"pos"	"X treat with Y"	"Y elimin X"	"0.0"
"pos"	"X develop for Y"	"X indic for Y"	"0.0"
"pos"	"X have Y"	"X ejacul Y"	"0.0"
"pos"	"X allevi Y"	"Y treat by X"	"0.0"
"pos"	"X need for Y"	"Y respond to X"	"0.0"
"pos"	"X control with Y"	"Y help X"	"0.0"
"pos"	"X us against Y"	"X be against Y"	"0.0"
"pos"	"X treat with Y"	"X cure by Y"	"0.0"
"pos"	"X give to Y"	"Y altern with X"	"0.0"
"pos"	"X develop into Y"	"X lead to Y"	"0.0"
"pos"	"X deriv from Y"	"X prepar from Y"	"0.0"
"pos"	"X caus by Y"	"X produc by Y"	"0.0"
"pos"	"X us for Y"	"X offer Y"	"0.0"
"pos"	"X contain Y"	"X consist of Y"	"0.0"
"pos"	"X follow Y"	"Y accompani X"	"0.0"
"pos"	"X come from Y"	"Y produc X"	"0.0"
"pos"	"X refer to Y"	"Y associ with X"	"0.0"
"pos"	"X us as Y"	"Y contain X"	"0.0"
"pos"	"X produc in Y"	"Y produc X"	"0.0"
"pos"	"X find Y"	"X produc Y"	"0.0"
"pos"	"X reliev Y"	"Y control with X"	"0.0"
"pos"	"X affect Y"	"Y develop X"	"0.0"
"pos"	"X kill Y"	"Y get X"	"0.0"
"pos"	"X us in Y"	"Y give X"	"0.0"
"pos"	"X allevi Y"	"Y treat with X"	"0.0"
"pos"	"X us as Y"	"Y make from X"	"0.0"
"pos"	"X be for Y"	"X order for Y"	"0.0"
"pos"	"X us for Y"	"X bring Y"	"0.0"
"pos"	"X give to Y"	"Y follow by X"	"0.0"
"pos"	"X caus by Y"	"X refer to Y"	"0.0"
"pos"	"X reserv for Y"	"X us for Y"	"0.0"
"pos"	"X expos to Y"	"X give Y"	"0.0"
"pos"	"X reliev Y"	"Y treat by X"	"0.0"
"pos"	"X occur after Y"	"X follow Y"	"0.0"
"pos"	"X affect Y"	"Y affect in X"	"0.0"
"pos"	"X carri Y"	"Y be in X"	"0.0"
"pos"	"X attribut to Y"	"X relat to Y"	"0.0"
"pos"	"X preced by Y"	"Y lead to X"	"0.0"
"pos"	"X produc Y"	"X result in Y"	"0.0"
"pos"	"X have Y"	"Y be in X"	"0.0"
"pos"	"X spread by Y"	"X transmit through Y"	"0.0"
"pos"	"X predispos to Y"	"Y caus by X"	"0.0"
"pos"	"X distinguish from Y"	"X differ from Y"	"0.0"
"pos"	"X take Y"	"Y us in X"	"0.0"
"pos"	"X complic with Y"	"Y be in X"	"0.0"
"pos"	"X present as Y"	"Y result from X"	"0.0"
"pos"	"X result from Y"	"X follow Y"	"0.0"
"pos"	"X character by Y"	"X have Y"	"0.0"
"pos"	"X get into Y"	"X enter Y"	"0.0"
"pos"	"X indic for Y"	"X prescrib for Y"	"0.0"
"pos"	"X come with Y"	"X accompani by Y"	"0.0"
"pos"	"X suggest Y"	"Y produc X"	"0.0"
"pos"	"X begin as Y"	"Y associ with X"	"0.0"
"pos"	"X replac Y"	"X substitut for Y"	"0.0"
"pos"	"X prevent Y"	"X fight Y"	"0.0"
"pos"	"X us for Y"	"X administ dure Y"	"0.0"
"pos"	"X elimin Y"	"X us against Y"	"0.0"
"pos"	"X bring Y"	"X give Y"	"0.0"
"pos"	"X indic for Y"	"X be for Y"	"0.0"
"pos"	"X respond to Y"	"Y mask X"	"0.0"
"pos"	"X make from Y"	"Y us as X"	"0.0"
"pos"	"X fertil Y"	"Y fertil by X"	"0.0"
"pos"	"X be for Y"	"X offer Y"	"0.0"
"pos"	"X treat with Y"	"X manag with Y"	"0.0"
"pos"	"X result from Y"	"X relat to Y"	"0.0"
"pos"	"X administ for Y"	"X recommend for Y"	"0.0"
"pos"	"X caus by Y"	"Y begin with X"	"0.0"
"pos"	"X produc by Y"	"Y make X"	"0.0"
"pos"	"X give to Y"	"X result in Y"	"0.0"
"pos"	"X treat by Y"	"Y correct X"	"0.0"
"pos"	"X prescrib for Y"	"X recommend for Y"	"0.0"
"pos"	"X prepar from Y"	"X contain Y"	"0.0"
"pos"	"X occur in Y"	"Y carri X"	"0.0"
"pos"	"X cure by Y"	"X treat by Y"	"0.0"
"pos"	"X caus Y"	"X accompani Y"	"0.0"
"pos"	"X present with Y"	"X manifest by Y"	"0.0"
"pos"	"X complic Y"	"X caus by Y"	"0.0"
"pos"	"X contribut to Y"	"Y associ with X"	"0.0"
"pos"	"X decreas Y"	"X allevi Y"	"0.0"
"pos"	"X meet Y"	"X unit with Y"	"0.0"
"pos"	"X reliev Y"	"X administ for Y"	"0.0"
"pos"	"X indic Y"	"Y associ with X"	"0.0"
"pos"	"X induc Y"	"Y caus by X"	"0.0"
"pos"	"X reliev with Y"	"Y us for X"	"0.0"
"pos"	"X follow Y"	"X be after Y"	"0.0"
"pos"	"X synthes from Y"	"X deriv from Y"	"0.0"
"pos"	"X infect with Y"	"Y carri by X"	"0.0"
"pos"	"X prevent by Y"	"Y lead to X"	"0.0"
"pos"	"X find in Y"	"X enter Y"	"0.0"
"pos"	"X obtain from Y"	"Y produc X"	"0.0"
"pos"	"X be in Y"	"Y develop X"	"0.0"
"pos"	"X control with Y"	"Y allevi X"	"0.0"
"pos"	"X correct by Y"	"X reliev by Y"	"0.0"
"pos"	"X carri Y"	"X have Y"	"0.0"
"pos"	"X infect with Y"	"Y be in X"	"0.0"
"pos"	"X produc Y"	"Y be in X"	"0.0"
"pos"	"X manifest as Y"	"X produc Y"	"0.0"
"pos"	"X reliev Y"	"Y cure by X"	"0.0"
"pos"	"X reduc Y"	"X be for Y"	"0.0"
"pos"	"X prescrib for Y"	"Y manag with X"	"0.0"
"pos"	"X give befor Y"	"X administ befor Y"	"0.0"
"pos"	"X occur from Y"	"X result from Y"	"0.0"
"pos"	"X be against Y"	"X us against Y"	"0.0"
"pos"	"X us for Y"	"X have Y"	"0.0"
"pos"	"X character by Y"	"Y preced X"	"0.0"
"pos"	"X produc by Y"	"X result from Y"	"0.0"
"pos"	"X aggrav Y"	"Y caus by X"	"0.0"
"pos"	"X control with Y"	"Y reliev X"	"0.0"
"pos"	"X occur with Y"	"X produc Y"	"0.0"
"pos"	"X respond to Y"	"X cure by Y"	"0.0"
"pos"	"X relat to Y"	"Y associ with X"	"0.0"
"pos"	"X occur in Y"	"Y give X"	"0.0"
"pos"	"X produc Y"	"X offer Y"	"0.0"
"pos"	"X caus by Y"	"Y produc X"	"0.0"
"pos"	"X follow by Y"	"Y follow by X"	"0.0"
"pos"	"X us for Y"	"Y requir X"	"0.0"
"pos"	"X bring Y"	"X provid Y"	"0.0"
"pos"	"X confound with Y"	"Y confound with X"	"0.0"
"pos"	"X ejacul Y"	"X produc Y"	"0.0"
"pos"	"X lead to Y"	"Y occur after X"	"0.0"
"pos"	"X give for Y"	"X allevi Y"	"0.0"
"pos"	"X hydrolyz Y"	"Y hydrolyz by X"	"0.0"
"pos"	"X caus Y"	"Y caus by X"	"0.0"
"pos"	"X prescrib for Y"	"Y control by X"	"0.0"
"pos"	"X treat with Y"	"X prevent by Y"	"0.0"
"pos"	"X follow Y"	"Y caus X"	"0.0"
"pos"	"X be in Y"	"X be dure Y"	"0.0"
"pos"	"X us dure Y"	"X us for Y"	"0.0"
"pos"	"X kill by Y"	"X affect by Y"	"0.0"
"pos"	"X associ with Y"	"Y follow X"	"0.0"
"pos"	"X enter Y"	"X get into Y"	"0.0"
"pos"	"X prevent Y"	"X elimin Y"	"0.0"
"pos"	"X attribut to Y"	"X result from Y"	"0.0"
"pos"	"X secret by Y"	"Y produc X"	"0.0"
"pos"	"X inject into Y"	"Y penetr by X"	"0.0"
"pos"	"X affect by Y"	"Y attack X"	"0.0"
"pos"	"X carri by Y"	"X transmit by Y"	"0.0"
"pos"	"X associ Y"	"X caus Y"	"0.0"
"pos"	"X control Y"	"Y control with X"	"0.0"
"pos"	"X combin with Y"	"Y encount X"	"0.0"
"pos"	"X develop Y"	"X associ with Y"	"0.0"
"pos"	"X occur with Y"	"X caus by Y"	"0.0"
"pos"	"X produc Y"	"X present with Y"	"0.0"
"pos"	"X associ with Y"	"X increas Y"	"0.0"
"pos"	"X requir Y"	"Y correct X"	"0.0"
"pos"	"X allevi Y"	"X be in Y"	"0.0"
"pos"	"X associ with Y"	"Y present as X"	"0.0"
"pos"	"X requir Y"	"Y reserv for X"	"0.0"
"pos"	"X die from Y"	"X get Y"	"0.0"
"pos"	"X us dure Y"	"X administ dure Y"	"0.0"
"pos"	"X produc Y"	"X promot Y"	"0.0"
"pos"	"X occur from Y"	"Y caus X"	"0.0"
"pos"	"X transmit through Y"	"X transmit via Y"	"0.0"
"pos"	"X be against Y"	"X cover Y"	"0.0"
"pos"	"X control with Y"	"Y us against X"	"0.0"
"pos"	"X produc Y"	"Y follow X"	"0.0"
"pos"	"X transmit Y"	"X develop Y"	"0.0"
"pos"	"X bring Y"	"X us for Y"	"0.0"
"pos"	"X complic Y"	"Y follow X"	"0.0"
"pos"	"X caus by Y"	"X be in Y"	"0.0"
"pos"	"X manag with Y"	"Y help X"	"0.0"
"pos"	"X caus by Y"	"X suggest Y"	"0.0"
"pos"	"X caus Y"	"X begin as Y"	"0.0"
"pos"	"X character by Y"	"X consist of Y"	"0.0"
"pos"	"X affect by Y"	"Y prevent X"	"0.0"
"pos"	"X reliev by Y"	"Y give for X"	"0.0"
"pos"	"X attack with Y"	"X suffer from Y"	"0.0"
"pos"	"X cover Y"	"X kill Y"	"0.0"
"pos"	"X control Y"	"X need for Y"	"0.0"
"pos"	"X develop into Y"	"Y caus by X"	"0.0"
"pos"	"X reliev by Y"	"Y help X"	"0.0"
"pos"	"X affect Y"	"Y affect by X"	"0.0"
"pos"	"X treat Y"	"Y requir X"	"0.0"
"pos"	"X mean Y"	"Y accompani X"	"0.0"
"pos"	"X manufactur Y"	"X produc Y"	"0.0"
"pos"	"X reliev by Y"	"Y improv X"	"0.0"
"pos"	"X reliev with Y"	"Y be for X"	"0.0"
"pos"	"X be in Y"	"X enter Y"	"0.0"
"pos"	"X provid from Y"	"X us for Y"	"0.0"
"pos"	"X complic with Y"	"Y associ with X"	"0.0"
"pos"	"X us with Y"	"X combin with Y"	"0.0"
"pos"	"X result from Y"	"Y manifest as X"	"0.0"
"pos"	"X enter Y"	"Y fertil by X"	"0.0"
"pos"	"X contribut to Y"	"X character by Y"	"0.0"
"pos"	"X complic by Y"	"X follow Y"	"0.0"
"pos"	"X unit with Y"	"Y unit with X"	"0.0"
"pos"	"X order for Y"	"X control Y"	"0.0"
"pos"	"X releas Y"	"X manufactur Y"	"0.0"
"pos"	"X mean Y"	"X caus by Y"	"0.0"
"pos"	"X respond to Y"	"Y prevent X"	"0.0"
"pos"	"X produc Y"	"Y develop from X"	"0.0"
"pos"	"X encount Y"	"Y unit with X"	"0.0"
"pos"	"X mean Y"	"X defin as Y"	"0.0"
"pos"	"X digest Y"	"X hydrolyz Y"	"0.0"
"pos"	"X prescrib for Y"	"X us in Y"	"0.0"
"pos"	"X transmit by Y"	"X carri by Y"	"0.0"
"pos"	"X find in Y"	"X transmit by Y"	"0.0"
"pos"	"X relat to Y"	"Y contribut to X"	"0.0"
"pos"	"X prepar from Y"	"Y us as X"	"0.0"
"pos"	"X produc Y"	"Y attribut to X"	"0.0"
"pos"	"X secret into Y"	"X releas into Y"	"0.0"
"pos"	"X produc in Y"	"Y make X"	"0.0"
"pos"	"X manifest as Y"	"Y caus by X"	"0.0"
"pos"	"X infect Y"	"Y infect with X"	"0.0"
"pos"	"X follow Y"	"Y result in X"	"0.0"
"pos"	"X result from Y"	"X caus Y"	"0.0"
"pos"	"X produc Y"	"Y achiev with X"	"0.0"
"pos"	"X produc by Y"	"X deriv from Y"	"0.0"
"pos"	"X treat with Y"	"Y help X"	"0.0"
"pos"	"X follow Y"	"Y follow by X"	"0.0"
"pos"	"X character by Y"	"Y see in X"	"0.0"
"pos"	"X respond to Y"	"X affect by Y"	"0.0"
"pos"	"X transmit through Y"	"X spread by Y"	"0.0"
"pos"	"X correct Y"	"Y correct with X"	"0.0"
"pos"	"X us against Y"	"X kill Y"	"0.0"
"pos"	"X confound with Y"	"Y mistak for X"	"0.0"
"pos"	"X indic for Y"	"X order for Y"	"0.0"
"pos"	"X afford Y"	"X indic for Y"	"0.0"
"pos"	"X administ for Y"	"X be in Y"	"0.0"
"pos"	"X includ Y"	"Y combin with X"	"0.0"
"pos"	"X help Y"	"X give for Y"	"0.0"
"pos"	"X reliev Y"	"X allevi Y"	"0.0"
"pos"	"X join with Y"	"X combin with Y"	"0.0"
"pos"	"X affect in Y"	"Y affect X"	"0.0"
"pos"	"X involv Y"	"Y affect in X"	"0.0"
"pos"	"X defin as Y"	"X involv Y"	"0.0"
"pos"	"X be in Y"	"X follow Y"	"0.0"
"pos"	"X metabol by Y"	"X convert by Y"	"0.0"
"pos"	"X elimin Y"	"Y respond to X"	"0.0"
"pos"	"X develop with Y"	"X associ with Y"	"0.0"
"pos"	"X suggest Y"	"Y caus X"	"0.0"
"pos"	"X follow by Y"	"Y give to X"	"0.0"
"pos"	"X digest Y"	"X convert Y"	"0.0"
"pos"	"X achiev with Y"	"Y afford X"	"0.0"
"pos"	"X caus Y"	"Y result in X"	"0.0"
"pos"	"X occur in Y"	"X occur dure Y"	"0.0"
